,mean_expression,variance,cv,samples_expressed,max_expression,detection_rate
ENSG00000241990,9.823529411764707,53.4044117647059,0.7439110636170355,7,23.0,0.68
ENSG00000242017,3.0,5.0,0.74535599001541,0,9.0,0.52
ENSG00000242083,1.0909090909090908,0.09090909090909091,0.2763853966627506,0,2.0,0.44
ENSG00000242085,4.625,11.696428571428571,0.7394603610188726,1,11.0,0.32
ENSG00000242088,2.0833333333333335,0.9924242424242422,0.4781783592546423,0,4.0,0.48
ENSG00000242100,2.3076923076923075,2.3974358974358974,0.6709584050323689,0,6.0,0.52
ENSG00000242110,17.8,472.48421052631574,1.2211630287437432,11,102.0,0.8
ENSG00000242114,7.111111111111111,21.61111111111111,0.6537340153766875,2,17.0,0.36
ENSG00000242169,5.25,24.2,0.9370189602151138,4,15.0,0.64
ENSG00000242220,7.222222222222222,14.694444444444445,0.5307692300343195,3,13.0,0.36
ENSG00000242242,7.0,1.0,0.14285714265306124,0,8.0,0.12
ENSG00000242244,6.0,,,0,6.0,0.04
ENSG00000242262,2.2142857142857144,1.7197802197802192,0.5922469252170852,0,5.0,0.56
ENSG00000242267,7.833333333333333,56.16666666666667,0.9567373245623404,1,22.0,0.24
ENSG00000242276,2.466666666666667,3.980952380952382,0.8088780018962056,0,8.0,0.6
ENSG00000242308,3.1333333333333333,4.123809523809524,0.6481010101758591,0,6.0,0.6
ENSG00000242324,12.444444444444445,139.2777777777778,0.9483429081897501,3,37.0,0.36
ENSG00000242327,6.428571428571429,10.757142857142856,0.5101924102595858,3,13.0,0.84
ENSG00000242405,7.909090909090909,29.134199134199136,0.6824564994239449,6,26.0,0.88
ENSG00000242411,1.0,0.0,0.0,0,1.0,0.12
ENSG00000242445,10.043478260869565,44.77075098814228,0.6662129116612725,10,23.0,0.92
ENSG00000242474,6.0,7.0,0.44095855110916754,0,10.0,0.28
ENSG00000242477,6.181818181818182,23.774891774891778,0.7887566723124271,5,17.0,0.88
ENSG00000242537,5.333333333333333,7.466666666666666,0.5123475373373283,0,9.0,0.24
ENSG00000242553,7.833333333333333,19.76666666666667,0.5675708877510554,1,16.0,0.24
ENSG00000242571,3.8947368421052633,9.98830409356725,0.8114611985237328,1,11.0,0.76
ENSG00000242588,4.833333333333333,5.969696969696969,0.5055095850431774,0,10.0,0.48
ENSG00000242609,1.0,,,0,1.0,0.04
ENSG00000242615,10.692307692307692,40.230769230769226,0.5932089843285969,5,20.0,0.52
ENSG00000242622,7.428571428571429,16.61904761904762,0.5487793512054763,2,14.0,0.28
ENSG00000242636,4.714285714285714,7.604395604395604,0.5849469088437282,1,12.0,0.56
ENSG00000242670,1.0,,,0,1.0,0.04
ENSG00000242692,2.1,1.6555555555555557,0.6127066340861202,0,4.0,0.4
ENSG00000242747,3.4705882352941178,11.889705882352946,0.9935333833331208,1,12.0,0.68
ENSG00000242756,2.1818181818181817,3.163636363636363,0.8152198030232826,0,7.0,0.44
ENSG00000242797,4.4,2.3,0.3446761557644428,0,6.0,0.2
ENSG00000242882,4.761904761904762,25.09047619047619,1.051898281847034,2,23.0,0.84
ENSG00000242941,2.0,,,0,2.0,0.04
ENSG00000242952,6.222222222222222,15.830065359477127,0.6394341632302137,3,14.0,0.72
ENSG00000242960,24.0,695.1428571428571,1.0985650809531193,17,92.0,0.88
ENSG00000242970,3.6666666666666665,5.333333333333335,0.6298366555800373,0,8.0,0.48
ENSG00000242990,1.8571428571428572,2.4761904761904763,0.847318541173839,0,5.0,0.28
ENSG00000243007,5.2,22.589473684210528,0.914007399602651,2,20.0,0.8
ENSG00000243014,1.5,0.6363636363636364,0.5318160199328703,0,3.0,0.48
ENSG00000243023,10.210526315789474,57.73099415204678,0.7441429793588392,6,33.0,0.76
ENSG00000243095,3.3333333333333335,6.666666666666666,0.7745966669176934,0,8.0,0.24
ENSG00000243101,2.5,3.4411764705882355,0.7420163279129455,0,8.0,0.72
ENSG00000243107,6.4,27.300000000000004,0.8163969035752006,1,14.0,0.2
ENSG00000243122,1.0,,,0,1.0,0.04
ENSG00000243181,53.142857142857146,520.7285714285715,0.429398777524903,21,94.0,0.84
ENSG00000243230,5.5,0.5,0.12856486907289072,0,6.0,0.08
ENSG00000243250,1.0,,,0,1.0,0.04
ENSG00000243265,3.0,2.0,0.47140451921968335,0,4.0,0.16
ENSG00000243280,7.0,39.2,0.8944271897221627,4,22.0,0.84
ENSG00000243297,1.6666666666666667,1.3333333333333335,0.6928203188706291,0,3.0,0.12
ENSG00000243388,1.125,0.125,0.31426967773384623,0,2.0,0.32
ENSG00000243403,2.411764705882353,4.257352941176471,0.855529305461018,0,9.0,0.68
ENSG00000243417,3.5,12.0,0.9897433157829489,0,8.0,0.32
ENSG00000243445,3.3076923076923075,3.897435897435898,0.5968488836194541,0,7.0,0.52
ENSG00000243495,1.7142857142857142,0.9047619047619048,0.5548606733032622,0,3.0,0.28
ENSG00000243498,2.0,1.4285714285714286,0.5976143016791253,0,4.0,0.32
ENSG00000243592,1.25,0.5,0.5656854204237547,0,3.0,0.32
ENSG00000243635,6.0,,,0,6.0,0.04
ENSG00000243648,5.217391304347826,10.26877470355731,0.6141944700490077,2,12.0,0.92
ENSG00000243650,5.111111111111111,7.861111111111111,0.5485631676634869,0,9.0,0.36
ENSG00000243663,2.0,1.4,0.5916079753519218,0,5.0,0.44
ENSG00000243701,5.75,26.25,0.8910391954903316,1,13.0,0.16
ENSG00000243730,1.0,,,0,1.0,0.04
ENSG00000243742,5.0476190476190474,4.347619047619048,0.4130847573656203,0,9.0,0.84
ENSG00000243759,8.68421052631579,86.11695906432749,1.0685971193637012,5,27.0,0.76
ENSG00000243777,1.3333333333333333,0.38095238095238076,0.4629100464144503,0,3.0,0.6
ENSG00000243779,6.857142857142857,16.028571428571425,0.5838539335077032,5,16.0,0.84
ENSG00000243795,4.5,7.0,0.5879447344855874,0,7.0,0.16
ENSG00000243802,11.142857142857142,40.12857142857142,0.5684997611091156,9,26.0,0.84
ENSG00000243811,8.75,131.35714285714286,1.309841642059745,2,32.0,0.32
ENSG00000243819,4.6,0.8,0.19444069327293673,0,6.0,0.2
ENSG00000243824,1.4166666666666667,0.4469696969696969,0.47192323673102754,0,3.0,0.48
ENSG00000243829,10.454545454545455,37.4025974025974,0.5849863409166789,9,23.0,0.88
ENSG00000243830,3.235294117647059,6.816176470588234,0.8069686134428329,1,11.0,0.68
ENSG00000243904,1.3636363636363635,0.4545454545454546,0.4944132288473473,0,3.0,0.44
ENSG00000243979,1.6666666666666667,0.6666666666666667,0.4898979456172479,0,3.0,0.24
ENSG00000244002,3.6,3.3777777777777778,0.5105203227333777,0,6.0,0.4
ENSG00000244052,4.294117647058823,6.9705882352941195,0.6148381041216171,0,10.0,0.68
ENSG00000244053,1.8421052631578947,0.6959064327485383,0.4528568900356814,0,4.0,0.76
ENSG00000244086,6.045454545454546,9.950216450216448,0.5217798495814829,3,13.0,0.88
ENSG00000244146,8.380952380952381,48.247619047619054,0.8287901283637613,6,26.0,0.84
ENSG00000244151,6.777777777777778,12.06535947712418,0.5124869449935587,3,13.0,0.72
ENSG00000244153,4.333333333333333,14.470588235294121,0.8778513761221391,1,17.0,0.72
ENSG00000244187,21.47826086956522,203.5335968379447,0.6642306943586116,17,46.0,0.92
ENSG00000244192,6.15,18.450000000000003,0.6984302946339191,3,16.0,0.8
ENSG00000244196,3.142857142857143,5.362637362637363,0.7368253730469877,0,10.0,0.56
